Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,127.779999,131.389999,126.900002,127.809998,127.809998,2888600
2017-10-31,125.540001,126.040001,119.150002,119.660004,119.660004,5093900
2017-11-01,119.970001,120.489998,114.790001,116.059998,116.059998,3604000
2017-11-02,117.330002,117.470001,115.000000,115.629997,115.629997,2117800
2017-11-03,115.309998,118.129997,115.120003,117.949997,117.949997,1367900
2017-11-06,117.260002,118.860001,115.440002,115.940002,115.940002,1840300
2017-11-07,115.709999,117.570000,113.519997,117.419998,117.419998,1956000
2017-11-08,117.959999,118.739998,114.099998,115.389999,115.389999,2211000
2017-11-09,114.519997,117.010002,114.489998,116.370003,116.370003,1367300
2017-11-10,115.489998,116.139999,114.910004,115.169998,115.169998,1521800
2017-11-13,115.019997,115.349998,113.220001,113.449997,113.449997,1620100
2017-11-14,113.080002,113.500000,109.629997,109.980003,109.980003,2533100
2017-11-15,110.099998,111.250000,108.639999,110.339996,110.339996,3092000
2017-11-16,111.180000,111.610001,108.220001,110.330002,110.330002,2885300
2017-11-17,110.150002,111.269997,109.610001,110.870003,110.870003,2182800
2017-11-20,110.519997,111.000000,108.010002,108.489998,108.489998,1757100
2017-11-21,109.080002,109.430000,107.900002,108.050003,108.050003,2844800
2017-11-22,108.250000,108.550003,107.070000,107.599998,107.599998,1800600
2017-11-24,107.870003,109.099998,107.570000,108.610001,108.610001,662500
2017-11-27,108.639999,110.910004,107.220001,107.750000,107.750000,2130300
2017-11-28,108.500000,108.500000,107.180000,108.353203,108.353203,561632
