Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,76.099998,76.930000,75.250000,75.989998,75.989998,11277000
2017-10-31,75.830002,76.389999,74.720001,74.959999,74.959999,8796600
2017-11-01,74.690002,75.849998,74.220001,74.830002,74.830002,8776400
2017-11-02,74.720001,74.800003,73.550003,73.809998,73.809998,7464400
2017-11-03,73.589996,73.849998,72.830002,73.459999,73.459999,7648600
2017-11-06,73.290001,73.500000,72.110001,72.379997,72.379997,8268200
2017-11-07,72.410004,73.339996,72.320000,73.209999,73.209999,7824400
2017-11-08,73.320000,73.370003,72.720001,73.099998,73.099998,8095400
2017-11-09,73.040001,73.419998,72.620003,73.019997,73.019997,5817800
2017-11-10,72.959999,74.080002,72.199997,73.769997,73.769997,7698200
2017-11-13,73.250000,73.389999,72.510002,72.849998,72.849998,8735300
2017-11-14,72.699997,72.720001,70.050003,71.150002,71.150002,10925600
2017-11-15,70.629997,72.099998,70.529999,71.809998,71.809998,8539300
2017-11-16,71.750000,72.599998,71.250000,72.410004,72.410004,7535900
2017-11-17,72.269997,72.620003,72.120003,72.440002,72.440002,5719100
2017-11-20,72.410004,72.610001,71.550003,72.129997,72.129997,6452500
2017-11-21,72.070000,72.839996,71.820000,72.510002,72.510002,6473500
2017-11-22,72.480003,73.089996,72.349998,72.820000,72.820000,4369000
2017-11-24,72.760002,72.919998,72.230003,72.459999,72.459999,2335900
2017-11-27,72.510002,72.599998,71.519997,71.699997,71.699997,4841200
2017-11-28,72.160004,72.402901,71.400002,72.372498,72.372498,2403599
